,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary,,
31,32,10/11/22 18:53,FALSE,TRUE,FALSE,TRUE,0,FALSE,10305.43631,FALSE,153.8863753,0.438345594,154.7455327,153.027218,0.30760582,0.209624541,0.001617428,TRUE,,,,fail_operator,,
32,33,10/11/22 19:05,FALSE,TRUE,TRUE,TRUE,0,TRUE,10322.31131,FALSE,169.1612229,6.379691464,181.6654181,156.6570276,6.802250621,0.23043199,0.001617428,TRUE,68.77329497,30.3769187,107.1696712,pass_all,,
33,34,10/11/22 19:17,FALSE,TRUE,TRUE,TRUE,0,TRUE,10346.44821,FALSE,6.600892184,0.084726684,6.766956484,6.434827883,0.080460875,0.039564668,0.001617428,FALSE,,,,pass_all,,
34,35,10/11/22 19:30,FALSE,TRUE,TRUE,TRUE,0,TRUE,10361.07733,FALSE,20.97106609,0.081953675,21.13169529,20.81043689,0.067601732,0.039922083,0.001617428,TRUE,13.7314693,4.864804472,22.59813413,pass_all,,
35,36,10/11/22 19:42,TRUE,FALSE,TRUE,TRUE,0,TRUE,10365.71408,FALSE,0,0,0,0,0,0,0,FALSE,,,,pass_all,,
36,37,10/11/22 19:54,FALSE,TRUE,FALSE,TRUE,1,FALSE,10369.60297,FALSE,42.14701483,3.209119082,48.43688823,35.85714143,3.425871622,0.057412806,0.001617428,TRUE,,,,fail_operator,,
37,38,10/11/22 20:05,FALSE,TRUE,TRUE,TRUE,1,TRUE,10314.40411,FALSE,16.49955903,0.078059165,16.65255499,16.34656307,0.066598559,0.039847673,0.001617428,TRUE,42.44641036,12.7977964,72.09502432,pass_all,,
38,39,10/11/22 20:17,FALSE,TRUE,TRUE,TRUE,1,TRUE,10273.00041,FALSE,174.7466178,0.51555334,175.7571024,173.7361333,0.377585317,0.238040434,0.001617428,TRUE,116.4616028,32.07597944,200.8472262,pass_all,,
39,40,10/11/22 20:29,FALSE,TRUE,TRUE,TRUE,1,TRUE,10412.51964,FALSE,139.3675059,0.37304432,140.0986727,138.636339,0.237864598,0.189846888,0.001617428,TRUE,169.7134593,63.3670547,276.0598639,pass_all,,
40,41,10/11/22 20:41,FALSE,TRUE,FALSE,TRUE,1,FALSE,10398.56131,FALSE,29.35827676,0.093068155,29.54069035,29.17586318,0.073101123,0.040026708,0.001617428,TRUE,,,,fail_operator,,
41,42,10/11/22 20:53,FALSE,TRUE,TRUE,TRUE,1,TRUE,10369.39464,FALSE,35.00621294,4.837072714,44.48687546,25.52555042,5.165203588,0.048635006,0.001617428,TRUE,25.47196825,9.74736541,41.19657109,pass_all,,
42,43,10/11/22 21:05,FALSE,TRUE,FALSE,TRUE,0,FALSE,10271.2994,FALSE,89.46918739,7.925635911,105.0034338,73.934941,8.461834207,0.12187523,0.001617428,TRUE,,,,fail_operator,,
43,44,10/11/22 21:16,FALSE,TRUE,TRUE,TRUE,0,TRUE,10325.33214,FALSE,88.12240477,0.218866769,88.55138364,87.6934259,0.117466772,0.120040638,0.001617428,TRUE,119.8710723,73.00196193,166.7401827,pass_all,,
44,45,10/12/22 17:16,FALSE,TRUE,FALSE,TRUE,0,FALSE,10150.64464,FALSE,276.976475,0.935188302,278.8094441,275.1435059,0.770761025,0.377298291,0.001617428,TRUE,,,,fail_operator,,
45,46,10/12/22 17:27,FALSE,TRUE,FALSE,TRUE,1,FALSE,10169.49881,FALSE,66.90956726,2.377220916,71.56892026,62.25021427,2.534153699,0.091144439,0.001617428,TRUE,,,,fail_operator,,
46,47,10/12/22 17:40,FALSE,TRUE,FALSE,TRUE,0,FALSE,10328.76964,FALSE,14.41868662,0.071600735,14.55902406,14.27834918,0.059625666,0.039805904,0.001617428,TRUE,,,,fail_operator,,
47,48,10/12/22 17:53,FALSE,TRUE,TRUE,TRUE,0,TRUE,10277.63328,FALSE,46.2960233,9.001010723,63.93800432,28.65404229,9.612191921,0.064314015,0.001617428,TRUE,98.45613773,17.14106162,179.7712138,pass_all,,
48,49,10/12/22 18:05,FALSE,TRUE,TRUE,TRUE,0,TRUE,10145.64464,FALSE,48.53805231,0.122339095,48.77783693,48.29826768,0.068419239,0.066118699,0.001617428,TRUE,51.56575317,25.94987592,77.18163042,pass_all,,
49,50,10/12/22 18:18,FALSE,TRUE,TRUE,TRUE,0,TRUE,10149.60297,FALSE,103.1107283,6.174506839,115.2127617,91.00869486,6.56950445,0.140049107,0.001958542,TRUE,55.33014704,27.55813412,83.10215996,pass_all,,
50,51,10/12/22 18:29,FALSE,TRUE,FALSE,TRUE,1,FALSE,10182.72797,FALSE,62.88612021,0.181469831,63.24180107,62.53043934,0.102669753,0.085414439,0.001958542,TRUE,,,,fail_operator,,
51,52,10/12/22 18:42,FALSE,TRUE,FALSE,FALSE,0,FALSE,10273.58802,TRUE,41.64654133,0.126854248,41.89517566,41.397907,0.080578883,0.056565995,0.001958542,TRUE,,,,fail_all,,
52,53,10/12/22 18:54,FALSE,TRUE,TRUE,TRUE,0,TRUE,10270.22797,FALSE,83.67887982,0.228721477,84.12717391,83.23058573,0.108932836,0.113655995,0.001958542,TRUE,92.45474051,41.99248599,142.916995,pass_all,,
53,54,10/12/22 19:06,FALSE,TRUE,TRUE,FALSE,0,FALSE,10311.2002,FALSE,61.29129098,0.168960811,61.62245417,60.96012779,0.083141934,0.083248278,0.001958542,TRUE,127.3104497,48.02441672,206.5964827,fail_stanford,,
54,55,10/12/22 19:18,FALSE,TRUE,TRUE,TRUE,1,TRUE,10177.31131,FALSE,11.49900916,0.07767087,11.65124407,11.34677426,0.067894627,0.039734995,0.001958542,TRUE,4.90088507,2.2528892,7.54888094,pass_all,,
55,56,10/12/22 19:29,FALSE,TRUE,FALSE,TRUE,0,FALSE,10267.51964,FALSE,212.6655707,0.733042445,214.1023339,211.2288075,0.550288816,0.288850867,0.001958542,TRUE,,,,fail_operator,,
56,57,10/12/22 19:41,FALSE,TRUE,TRUE,TRUE,1,TRUE,10187.62381,FALSE,22.36539437,3.407231943,29.04356898,15.68721977,3.62766549,0.03993812,0.001958542,TRUE,22.09402808,9.33975696,34.8482992,pass_all,,
57,58,10/12/22 19:53,FALSE,TRUE,TRUE,TRUE,1,TRUE,10248.45714,FALSE,23.31861819,0.086866994,23.48887749,23.14835888,0.06540828,0.039954146,0.001958542,TRUE,35.91431737,13.80927751,58.01935723,pass_all,,
58,59,10/12/22 20:05,FALSE,TRUE,TRUE,TRUE,1,TRUE,10244.18364,FALSE,88.45821188,0.2404684,88.92952995,87.98689382,0.111984973,0.120147474,0.001958542,TRUE,57.50539536,31.94631947,83.06447125,pass_all,,
59,60,10/12/22 20:16,TRUE,FALSE,TRUE,TRUE,0,TRUE,10269.39464,FALSE,0,0,0,0,0,0,0,FALSE,,,,pass_all,,
60,61,10/12/22 20:28,FALSE,TRUE,TRUE,TRUE,0,TRUE,10073.81772,FALSE,59.82312629,6.756587517,73.06603782,46.58021475,7.193134756,0.081254158,0.001958542,TRUE,110.9200785,46.60145729,175.2386997,pass_all,,
61,62,10/12/22 20:40,FALSE,TRUE,TRUE,TRUE,0,TRUE,10139.18631,FALSE,50.36949004,9.40435546,68.80202674,31.93695334,10.01346436,0.068413852,0.001958542,TRUE,74.8321255,41.62363262,108.0406184,pass_all,,
62,63,10/12/22 20:52,FALSE,TRUE,TRUE,TRUE,1,TRUE,10112.17242,FALSE,95.39833484,0.269482559,95.92652066,94.87014903,0.143772991,0.129573827,0.001958542,TRUE,44.66627038,20.56252848,68.77001228,pass_all,,
63,64,10/12/22 21:04,TRUE,FALSE,TRUE,TRUE,0,TRUE,10275.01964,FALSE,0,0,0,0,0,0,0,FALSE,,,,pass_all,,
64,65,10/12/22 21:15,FALSE,TRUE,TRUE,TRUE,1,TRUE,10340.12381,FALSE,193.8711017,9.090036044,211.6875724,176.0546311,9.666450208,0.263323469,0.001958542,TRUE,89.30090964,39.34961461,139.2522047,pass_all,,
65,66,10/28/22 17:51,FALSE,TRUE,TRUE,FALSE,0,FALSE,10131.32916,FALSE,657.7491366,9.251811008,675.8826862,639.615587,9.644763035,0.882848724,0.001361713,TRUE,606.67042,358.6009972,854.7398428,fail_stanford,,
66,67,10/28/22 18:03,FALSE,TRUE,TRUE,TRUE,1,TRUE,10257.31131,FALSE,591.2221033,5.127130768,601.2712796,581.172927,5.261642397,0.793554337,0.001361713,TRUE,551.2952728,328.3286433,774.2619023,pass_all,,
67,68,10/28/22 18:15,FALSE,TRUE,TRUE,TRUE,1,TRUE,10126.16547,FALSE,493.7219518,2.754136186,499.1200587,488.3238448,2.721420051,0.66268699,0.001361713,TRUE,507.6635205,337.9787691,677.3482719,pass_all,,
68,69,10/28/22 18:27,FALSE,TRUE,FALSE,TRUE,1,FALSE,10169.39464,FALSE,1113.115327,31.67574634,1175.19979,1051.030864,33.25675059,1.494053571,0.001361713,TRUE,,,,fail_operator,,
69,70,10/28/22 18:39,FALSE,TRUE,TRUE,TRUE,0,TRUE,10007.93631,FALSE,778.4434909,7.054246274,792.2698136,764.6171682,7.254981327,1.044847959,0.001361713,TRUE,898.2137803,494.783734,1301.643827,pass_all,,
70,71,10/28/22 19:31,FALSE,TRUE,TRUE,TRUE,1,TRUE,10228.76964,FALSE,58.68009561,0.134462933,58.94364296,58.41654826,0.077385004,0.078762015,0.001361713,TRUE,181.8490969,108.335804,255.3623898,pass_all,,
71,72,10/28/22 19:43,FALSE,TRUE,TRUE,TRUE,0,TRUE,10113.97797,FALSE,479.3728944,4.123956841,487.4558498,471.289939,4.230389019,0.643427296,0.001361713,TRUE,1087.518445,572.8943312,1602.142559,pass_all,,
72,73,10/28/22 19:55,FALSE,TRUE,TRUE,TRUE,1,TRUE,10083.97797,FALSE,428.9350967,2.076973491,433.0059647,424.8642286,2.006764104,0.575728316,0.001361713,TRUE,1256.739659,639.4880618,1873.991256,pass_all,,
73,74,10/28/22 20:07,FALSE,TRUE,FALSE,TRUE,0,FALSE,10253.76964,FALSE,1443.099173,38.94418734,1519.42978,1366.768566,40.87752594,1.936966837,0.001361713,TRUE,,,,fail_operator,,
74,75,10/28/22 20:19,FALSE,TRUE,FALSE,TRUE,1,FALSE,10262.31131,FALSE,877.086846,13.9572305,904.4430178,849.7306742,14.58016059,1.177249745,0.001361713,TRUE,,,,fail_operator,,
75,76,10/28/22 20:31,FALSE,TRUE,TRUE,TRUE,0,TRUE,10299.56509,FALSE,381.886427,1.784882185,385.3847961,378.3880579,1.712735439,0.512578316,0.001361713,TRUE,520.4576667,247.4584603,793.4568731,pass_all,,
76,77,10/28/22 20:43,FALSE,TRUE,TRUE,TRUE,1,TRUE,10232.93631,FALSE,112.6257891,0.266268924,113.1476762,112.103902,0.163757473,0.151169388,0.001361713,TRUE,133.3627741,66.362704,200.3628442,pass_all,,
77,78,10/28/22 20:55,FALSE,TRUE,TRUE,TRUE,1,TRUE,10127.51964,FALSE,110.6814879,0.242306792,111.1564092,110.2065665,0.122846047,0.148559694,0.001361713,TRUE,122.296791,57.72957408,186.8640079,pass_all,,
78,79,10/28/22 21:06,FALSE,TRUE,TRUE,TRUE,0,TRUE,10258.85778,FALSE,608.5298057,5.226455177,618.7736578,598.2859535,5.360878081,0.816785204,0.001361713,TRUE,358.7100637,176.2156042,541.2045232,pass_all,,
79,80,10/29/22 17:13,FALSE,TRUE,TRUE,TRUE,1,TRUE,10329.42936,FALSE,671.5876889,5.91054177,683.1723508,660.003027,5.101488261,0.898558163,0.004610306,TRUE,478.3667514,330.8742862,625.8592166,pass_all,,
80,81,10/29/22 17:25,FALSE,TRUE,FALSE,FALSE,0,FALSE,10374.98492,TRUE,483.9500985,3.132404375,490.0896111,477.8105859,2.08568033,0.647506378,0.004610306,TRUE,,,,fail_all,,
81,82,10/29/22 17:37,FALSE,TRUE,FALSE,FALSE,0,FALSE,10406.06131,TRUE,405.0532053,2.553755355,410.0585658,400.0478448,1.631006228,0.541945408,0.004610306,TRUE,,,,fail_all,,
82,83,10/29/22 17:49,FALSE,TRUE,TRUE,TRUE,1,TRUE,10400.01964,FALSE,364.766501,1.997421748,368.6814476,360.8515544,0.853113619,0.488043367,0.004610306,TRUE,338.9438044,240.9766714,436.9109375,pass_all,,
83,84,10/29/22 18:01,FALSE,TRUE,TRUE,TRUE,0,TRUE,10444.74186,FALSE,34.08252209,0.181439614,34.43814374,33.72690045,0.065199884,0.045601087,0.004610306,TRUE,35.12918503,24.52062928,45.73774078,pass_all,,
84,85,10/29/22 18:13,FALSE,TRUE,TRUE,TRUE,0,TRUE,10312.51964,FALSE,33.33153358,0.179001054,33.68237565,32.98069152,0.068391023,0.044596293,0.004610306,TRUE,34.93712619,16.68568479,53.18856759,pass_all,,
85,86,10/29/22 18:25,FALSE,TRUE,TRUE,TRUE,0,TRUE,10352.76002,FALSE,328.4079105,1.881420094,332.0954939,324.7203271,0.962488308,0.43939699,0.004610306,TRUE,242.7765881,117.1754803,368.3776959,pass_all,,
86,87,10/29/22 18:36,FALSE,TRUE,TRUE,TRUE,0,TRUE,10382.51964,FALSE,354.4145477,1.969620382,358.2750037,350.5540918,0.90075548,0.474192857,0.004610306,TRUE,363.6452807,215.1831596,512.1074018,pass_all,,
87,88,10/29/22 18:49,FALSE,TRUE,TRUE,TRUE,0,TRUE,10417.51964,FALSE,818.0531277,11.40776464,840.4123464,795.6939091,11.17020109,1.094523214,0.004610306,TRUE,377.9904306,186.4116783,569.5691829,pass_all,,
88,89,10/29/22 19:00,FALSE,TRUE,FALSE,TRUE,0,FALSE,10417.10297,FALSE,818.8962474,12.40940374,843.2186787,794.5738161,12.28759012,1.095651276,0.004610306,TRUE,,,,fail_operator,,
89,90,10/29/22 19:13,FALSE,TRUE,FALSE,TRUE,0,FALSE,10424.18631,FALSE,1057.660406,27.83432926,1112.215692,1003.105121,28.66502716,1.415108418,0.004610306,TRUE,,,,fail_operator,,
90,91,10/29/22 19:24,FALSE,TRUE,TRUE,TRUE,0,TRUE,10342.62381,FALSE,425.0770106,2.946062794,430.8512937,419.3027276,2.13933325,0.56873648,0.004610306,TRUE,574.906401,345.4223011,804.3905009,pass_all,,
91,92,10/29/22 19:36,FALSE,TRUE,FALSE,TRUE,0,FALSE,10277.48492,FALSE,1312.87169,55.17401683,1421.012763,1204.730617,57.46410524,1.756571173,0.004610306,TRUE,,,,fail_operator,,
92,93,10/29/22 19:48,FALSE,TRUE,TRUE,TRUE,1,TRUE,10388.14464,FALSE,811.8241095,16.94059697,845.0276796,778.6205395,17.2520852,1.086189031,0.004610306,TRUE,516.7550073,357.8927642,675.6172504,pass_all,,
93,94,10/29/22 20:00,FALSE,TRUE,FALSE,TRUE,1,FALSE,10406.47797,FALSE,585.700453,4.980166282,595.4615789,575.9393271,4.224734162,0.783644388,0.004610306,TRUE,,,,fail_operator,,
94,95,10/29/22 20:12,FALSE,TRUE,TRUE,TRUE,1,TRUE,10416.49691,FALSE,204.0438176,1.070336633,206.1416774,201.9459578,0.338579947,0.273002679,0.004610306,TRUE,253.9353137,153.2300402,354.6405872,pass_all,,
95,96,10/29/22 20:24,FALSE,TRUE,TRUE,TRUE,1,TRUE,10376.06131,FALSE,134.4551024,0.693558699,135.8144775,133.0957274,0.178056604,0.179895689,0.004610306,TRUE,154.4962888,97.9210244,211.0715532,pass_all,,
96,97,10/29/22 20:36,FALSE,TRUE,FALSE,TRUE,0,FALSE,10232.93631,FALSE,584.0096378,5.302805147,594.4031359,573.6161397,4.642556496,0.781382143,0.004610306,TRUE,,,,fail_operator,,
97,98,10/29/22 20:48,FALSE,TRUE,FALSE,TRUE,0,FALSE,10293.45714,FALSE,182.5337422,0.963910095,184.423006,180.6444784,0.32447885,0.244223036,0.004610306,TRUE,,,,fail_operator,,
98,99,10/29/22 20:59,FALSE,TRUE,FALSE,TRUE,1,FALSE,10400.22797,FALSE,169.2272738,0.863243928,170.9192319,167.5353157,0.178132728,0.226419499,0.004610306,TRUE,,,,fail_operator,,
99,100,10/29/22 21:11,FALSE,TRUE,TRUE,TRUE,0,TRUE,10447.07321,FALSE,418.9420855,2.260329724,423.3723318,414.5118392,0.889328736,0.560528189,0.004610306,TRUE,512.5640201,343.2935975,681.8344427,pass_all,,
100,101,10/31/22 17:16,FALSE,TRUE,TRUE,TRUE,1,TRUE,10586.30752,FALSE,109.2768931,0.46169286,110.1818111,108.3719751,0.146359754,0.146060587,0.003645072,TRUE,94.024409,40.21273194,147.8360861,pass_all,,
101,102,10/31/22 17:28,FALSE,TRUE,TRUE,TRUE,0,TRUE,10592.17242,FALSE,676.1004789,3.357099901,682.6803947,669.5205631,2.058053159,0.903682653,0.003645072,TRUE,409.3608275,161.5725328,657.1491222,pass_all,,
102,103,10/31/22 17:40,FALSE,TRUE,TRUE,TRUE,1,TRUE,10436.68631,FALSE,316.2688372,1.298131692,318.8131753,313.7244991,0.263099558,0.422728087,0.003645072,TRUE,252.7426339,107.0575007,398.4277671,pass_all,,
103,104,10/31/22 17:51,FALSE,TRUE,FALSE,TRUE,0,FALSE,10583.32821,FALSE,948.63411,8.908913735,966.0955809,931.1726391,8.433827623,1.267953827,0.003645072,TRUE,,,,fail_operator,,
104,105,10/31/22 18:02,FALSE,TRUE,FALSE,TRUE,0,FALSE,10522.14085,FALSE,1124.538688,16.6692573,1157.210433,1091.866944,16.8107979,1.503069643,0.003645072,TRUE,,,,fail_operator,,
105,106,10/31/22 18:14,FALSE,TRUE,FALSE,TRUE,1,FALSE,10548.53271,FALSE,627.3928814,3.242242593,633.7476769,621.038086,2.129285352,0.838579592,0.003645072,TRUE,,,,fail_operator,,
106,107,10/31/22 18:25,FALSE,TRUE,TRUE,TRUE,1,TRUE,10534.3252,FALSE,463.3285299,2.056349902,467.3589757,459.2980841,0.905841719,0.619289541,0.003645072,TRUE,457.5844042,193.101076,722.0677324,pass_all,,
107,108,10/31/22 18:36,FALSE,TRUE,FALSE,FALSE,0,FALSE,10507.49439,TRUE,627.026435,3.180181726,633.2595912,620.7932789,2.025922073,0.838089796,0.003645072,TRUE,,,,fail_all,,
108,109,10/31/22 18:48,FALSE,TRUE,FALSE,TRUE,1,FALSE,10470.01964,FALSE,562.858235,2.600867234,567.9559347,557.7605352,1.336579941,0.752321939,0.003645072,TRUE,,,,fail_operator,,
109,110,10/31/22 18:59,TRUE,FALSE,TRUE,FALSE,0,FALSE,10472.58908,FALSE,0,0,0,0,0,0,0,FALSE,,,,fail_stanford,,
110,111,10/31/22 19:22,TRUE,FALSE,TRUE,TRUE,0,TRUE,10566.20502,FALSE,0,0,0,0,0,0,0,FALSE,,,,pass_all,,
111,112,10/31/22 19:33,FALSE,TRUE,TRUE,TRUE,0,TRUE,10494.49881,FALSE,318.4501094,1.371140403,321.1375446,315.7626742,0.508492223,0.425643597,0.003645072,TRUE,614.9587419,476.2013765,753.7161073,pass_all,,
112,113,10/31/22 19:44,FALSE,TRUE,TRUE,TRUE,1,TRUE,10559.12299,FALSE,855.7130367,5.897208675,867.2715657,844.1545077,5.014882837,1.143754592,0.003645072,TRUE,629.9663131,462.7291192,797.203507,pass_all,,
113,114,10/31/22 19:55,FALSE,TRUE,TRUE,TRUE,1,TRUE,10476.89464,FALSE,386.5734685,1.719020709,389.9427491,383.2041879,0.764033827,0.516697959,0.003645072,TRUE,492.7991039,372.3441803,613.2540275,pass_all,,
114,115,10/31/22 20:07,TRUE,FALSE,TRUE,TRUE,0,TRUE,10450.43631,FALSE,0,0,0,0,0,0,0,FALSE,,,,pass_all,,
115,116,10/31/22 20:18,FALSE,TRUE,FALSE,TRUE,1,FALSE,10533.45714,FALSE,1081.530478,11.15091812,1103.386277,1059.674678,10.75690744,1.445584439,0.003645072,TRUE,,,,fail_operator,,
116,117,10/31/22 20:30,FALSE,TRUE,TRUE,TRUE,1,TRUE,10530.22797,FALSE,321.0963105,1.313936805,323.6716266,318.5209943,0.244465517,0.429180536,0.003645072,TRUE,443.5874028,354.2828717,532.8919339,pass_all,,
117,118,10/31/22 20:41,TRUE,FALSE,TRUE,TRUE,0,TRUE,10538.14464,FALSE,0,0,0,0,0,0,0,FALSE,,,,pass_all,,
